applesauce	1960	3219
applesauce	1970	4801
applesauce	1980	6065
applesauce	1990	10175
appletalk	1960	5
appletalk	1970	8
appletalk	1980	3154
appletalk	1990	19607
applications	1960	405781
applications	1970	527491
applications	1980	911995
applications	1990	1343777
appomattox	1960	10525
appomattox	1970	7905
appomattox	1980	8277
appomattox	1990	13645
apricot	1960	8860
apricot	1970	10256
apricot	1980	13886
apricot	1990	19590
apricots	1960	8513
apricots	1970	9072
apricots	1980	10370
apricots	1990	14931
are	1960	51718271
are	1970	56839572
are	1980	63033039
are	1990	78160131
area	1960	3281267
area	1970	4052447
area	1980	4270114
area	1990	4946566
areas	1960	2129097
areas	1970	2822990
areas	1980	2869151
areas	1990	3231260
argues	1960	90042
argues	1970	150448
argues	1980	250768
argues	1990	452737
aroma	1960	14928
aroma	1970	16278
aroma	1980	21235
aroma	1990	40668
around	1960	2619188
around	1970	3114472
around	1980	3889346
around	1990	6133290
arrange	1960	167710
arrange	1970	167727
arrange	1980	189820
arrange	1990	232931
artificial	1960	320299
artificial	1970	335003
artificial	1980	374527
artificial	1990	439865
as	1960	79198147
as	1970	81415213
as	1980	86594289
as	1990	111901670
ash	1960	122490
ash	1970	151313
ash	1980	170175
ash	1990	195869
aside	1960	496789
aside	1970	465735
aside	1980	486690
aside	1990	646680
asked	1960	2236069
asked	1970	2348953
asked	1980	2742300
asked	1990	4067915
association	1960	1662995
association	1970	2025903
association	1980	2105375
association	1990	2649108
astrachan	1960	677
astrachan	1970	786
astrachan	1980	1021
astrachan	1990	1285
at	1960	48414875
at	1970	48230191
at	1980	50734807
at	1990	64097400
ate	1960	170428
ate	1970	180936
ate	1980	211783
ate	1990	340757
attached	1960	534576
attached	1970	543553
attached	1980	566466
attached	1990	698938
attack	1960	1121569
attack	1970	1033418
attack	1980	1006924
attack	1990	1255819
attacking	1960	123399
attacking	1970	114696
attacking	1980	106103
attacking	1990	140309
attacks	1960	358737
attacks	1970	387606
attacks	1980	382509
attacks	1990	497145
attractive	1960	299585
attractive	1970	339430
attractive	1980	391721
attractive	1990	464218
attracts	1960	31777
attracts	1970	31806
attracts	1980	34982
attracts	1990	53018
au	1960	215072
au	1970	208812
au	1980	205971
au	1990	237914
audio	1960	74122
audio	1970	102380
audio	1980	132137
audio	1990	249908
august	1960	1164746
august	1970	1330296
august	1980	1430206
august	1990	1597010
authorized	1960	281694
authorized	1970	312703
authorized	1980	248007
authorized	1990	265966
autumn	1960	226329
autumn	1970	200345
autumn	1980	194561
autumn	1990	232616
available	1960	2115369
available	1970	2862645
available	1980	3388351
available	1990	4065299
ave	1960	140768
ave	1970	221838
ave	1980	248525
ave	1990	293155
avenue	1960	293941
avenue	1970	386508
avenue	1980	471082
avenue	1990	549204
average	1960	1730997
average	1970	1927957
average	1980	1979331
average	1990	2145854
award	1960	155126
award	1970	238545
award	1980	314743
award	1990	507266
awarded	1960	125063
awarded	1970	159913
awarded	1980	180908
awarded	1990	243472
awards	1960	73011
awards	1970	108077
awards	1980	166329
awards	1990	258658
away	1960	3188919
away	1970	3101511
away	1980	3425755
away	1990	4988483
b	1960	5985018
b	1970	8128860
b	1980	10186103
b	1990	10008044
baby	1960	462879
baby	1970	665373
baby	1980	894434
baby	1990	1293292
back	1960	5030946
back	1970	5248137
back	1980	6457196
back	1990	10015461
background	1960	735886
background	1970	850908
background	1980	952646
background	1990	1193507
backyard	1960	12227
backyard	1970	19793
backyard	1980	33213
backyard	1990	67707
bad	1960	1119109
bad	1970	1164345
bad	1980	1275926
bad	1990	1880298
bake	1960	34570
bake	1970	45075
bake	1980	56756
bake	1990	86323
baked	1960	63715
baked	1970	65033
